1364	7 (0 1 2 3 4 5 6) 
Mitella_stylosa	0000010
Mitella_trifida	0010000
Molinadendron_guatemalense	1000000
Molinadendron_sinaloense	1000000
Monanthes_anagensis	0000001
Monanthes_brachycaulos	0000010
Monanthes_icterica	0010000
Monanthes_laxiflora	0000001
Monanthes_minima	1000000
Monanthes_muralis	0000001
Monanthes_polyphylla	0000010
Myriophyllum_alpinum	0000010
Myriophyllum_alterniflorum	1000000
Myriophyllum_amphibium	1000000
Myriophyllum_aquaticum	0001000
Myriophyllum_balladoniense	0001000
Myriophyllum_caput-medusae	0001000
Myriophyllum_coronatum	0001000
Myriophyllum_crispatum	0001000
Myriophyllum_decussatum	1000000
Myriophyllum_dicoccum	0000100
Myriophyllum_drummondii	0001000
Myriophyllum_echinatum	0000100
Myriophyllum_farwellii	0010000
Myriophyllum_filiforme	0010000
Myriophyllum_heterophyllum	0010000
Myriophyllum_hippuroides	0010000
Myriophyllum_humile	0010000
Myriophyllum_lapidicola	0000100
Myriophyllum_latifolium	0100000
Myriophyllum_laxum	0001000
Myriophyllum_limnophilum	0100000
Myriophyllum_lophatum	1000000
Myriophyllum_mattogrossensis	0100000
Myriophyllum_muricatum	0100000
Myriophyllum_papillosum	0100000
Myriophyllum_pedunculatum	0100000
Myriophyllum_petraeum	0100000
Myriophyllum_pinnatum	0100000
Myriophyllum_propinquum	0001000
Myriophyllum_quitense	1000000
Myriophyllum_robustum	0000100
Myriophyllum_salsugineum	0001000
Myriophyllum_sibiricum	0100000
Myriophyllum_simulans	0001000
Myriophyllum_spicatum	0010000
Myriophyllum_tenellum	0001000
Myriophyllum_tillaeoides	1000000
Myriophyllum_trachycarpum	0100000
Myriophyllum_trifidum	0001000
Myriophyllum_triphyllum	0100000
Myriophyllum_ussuriense	1000000
Myriophyllum_variifolium	0100000
Myriophyllum_verrucosum	0000100
Myriophyllum_verticillatum	0001000
Myriophyllum_votschii	0001000
Mytilaria_laosensis	0100000
Neostrearia_fleckeri	0000100
Noahdendron_nicholasii	0001000
Oresitrophe_rupifraga	0000100
Orostachys_chanetii	0100000
Orostachys_fimbriata	0001000
Orostachys_gorovoii	1000000
Orostachys_japonica	0001000
Orostachys_malacophylla	0001000
Orostachys_paradoxa	0001000
Orostachys_schoenlandii	0001000
Orostachys_spinosa	0000001
Orostachys_thyrsiflora	0010000
Ostrearia_australiana	0001000
Pachyphytum_caesium	0001000
Pachyphytum_compactum	0000100
Pachyphytum_fittkaui	1000000
Pachyphytum_glutinicaule	0001000
Pachyphytum_hookeri	0100000
Pachyphytum_kimnachii	0001000
Pachyphytum_oviferum	0100000
Pachyphytum_viride	1000000
Paeonia_anomala	0100000
Paeonia_arietina	0000100
Paeonia_broteri	0000100
Paeonia_brownii	0000100
Paeonia_californica	0000100
Paeonia_cambessedesii	0100000
Paeonia_caucasica	0001000
Paeonia_clusii	0001000
Paeonia_coriacea	0000100
Paeonia_daurica	0100000
Paeonia_decomposita	0010000
Paeonia_delavayi	0010000
Paeonia_emodi	0000100
Paeonia_intermedia	0000100
Paeonia_jishanensis	0000100
Paeonia_lactiflora	0000100
Paeonia_ludlowii	0000100
Paeonia_macrophylla	0000100
Paeonia_mairei	0000100
Paeonia_mascula	0000100
Paeonia_morisii	0000100
Paeonia_obovata	0000100
Paeonia_officinalis	0000100
Paeonia_ostii	0000100
Paeonia_parnassica	0000100
Paeonia_peregrina	0000100
Paeonia_rockii	0000100
Paeonia_szechuanica	0000100
Paeonia_tenuifolia	1000000
Paeonia_veitchii	1000000
Paeonia_wittmanniana	0000100
Parrotia_persica	0000100
Parrotia_subaequalis	0000100
Parrotiopsis_jacquemontiana	0100000
Peltoboykinia_tellimoides	0000100
Penthorum_chinense	0000100
Penthorum_sedoides	0000100
Peridiscus_lucidus	0000100
Phedimus_aizoon	1000000
Phedimus_hybridus	0000100
Phedimus_kamtschaticus	0000100
Phedimus_obtusifolius	0000100
Phedimus_spurius	0000100
Phedimus_stellatus	0000100
Phedimus_stoloniferus	0000100
Pistorinia_breviflora	0000100
Pistorinia_hispanica	0000001
Prometheum_chrysanthum	0001000
Prometheum_pilosum	0001000
Prometheum_sempervivoides	1000000
Proserpinaca_palustris	0010000
Proserpinaca_pectinata	0010000
Pseudosedum_condensatum	1000000
Pseudosedum_lievenii	0100000
Pseudosedum_longidentatum	0001000
Pterostemon_mexicanus	1000000
Pterostemon_rotundifolius	0000100
Rhodiola_algida	0000100
Rhodiola_alsia	0100000
Rhodiola_amabilis	0000001
Rhodiola_atsaensis	1000000
Rhodiola_atuntsuensis	1000000
Rhodiola_bupleuroides	1000000
Rhodiola_calliantha	0000100
Rhodiola_chrysanthemifolia	0000100
Rhodiola_coccinea	1000000
Rhodiola_crenulata	0010000
Rhodiola_cretinii	0001000
Rhodiola_discolor	0100000
Rhodiola_dumulosa	0000100
Rhodiola_fastigiata	0100000
Rhodiola_gelida	0010000
Rhodiola_heterodonta	0100000
Rhodiola_himalensis	0010000
Rhodiola_hobsonii	0000100
Rhodiola_humilis	1000000
Rhodiola_imbricata	0000001
Rhodiola_integrifolia	1000000
Rhodiola_ishidae	0000100
Rhodiola_kirilowii	0001000
Rhodiola_macrocarpa	0001000
Rhodiola_nobilis	0001000
Rhodiola_pachyclados	1000000
Rhodiola_pamiroalaica	1000000
Rhodiola_prainii	0100000
Rhodiola_primuloides	0010000
Rhodiola_purpureoviridis	0001000
Rhodiola_quadrifida	1000000
Rhodiola_recticaulis	0010000
Rhodiola_rhodantha	1000000
Rhodiola_rosea	1000000
Rhodiola_semenovii	0000001
Rhodiola_serrata	0100000
Rhodiola_sherriffii	0000100
Rhodiola_sinuata	0000100
Rhodiola_smithii	0001000
Rhodiola_stapfii	0000100
Rhodiola_tangutica	1000000
Rhodiola_tibetica	0000100
Rhodiola_wallichiana	0000100
Rhodiola_yunnanensis	0000100
Rhodoleia_championii	1000000
Rhodoleia_henryi	1000000
Ribes_aciculare	0000100
Ribes_affine	0100000
Ribes_alpestre	1000000
Ribes_alpinum	0000100
Ribes_altissimum	1000000
Ribes_amarum	0000100
Ribes_americanum	0000100
Ribes_andicola	1000000
Ribes_aureum	0001000
Ribes_binominatum	0000001
Ribes_bracteosum	0100000
Ribes_brandegeei	0000100
Ribes_burejense	1000000
Ribes_californicum	0000001
Ribes_cereum	0100000
Ribes_ceriferum	0001000
Ribes_ciliatum	1000000
Ribes_curvatum	0000100
Ribes_cynosbati	0100000
Ribes_densiflorum	0001000
Ribes_diacanthum	0000100
Ribes_divaricatum	0001000
Ribes_dugesii	0010000
Ribes_echinellum	1000000
Ribes_erythrocarpum	1000000
Ribes_fasciculatum	0100000
Ribes_formosanum	0000100
Ribes_giraldii	1000000
Ribes_glaciale	0000100
Ribes_glandulosum	1000000
Ribes_graveolens	0010000
Ribes_griffithii	0100000
Ribes_himalense	0100000
Ribes_hirtellum	0010000
Ribes_horridum	0000100
Ribes_howellii	0100000
Ribes_hudsonianum	0100000
Ribes_humile	0100000
Ribes_indecorum	0000100
Ribes_inerme	1000000
Ribes_janczewskii	0010000
Ribes_komarovii	0000100
Ribes_laciniatum	0100000
Ribes_lacustre	0001000
Ribes_laxiflorum	0000001
Ribes_lobbii	0100000
Ribes_longeracemosum	0001000
Ribes_malvaceum	1000000
Ribes_mandshuricum	0100000
Ribes_maximowiczianum	0100000
Ribes_maximowiczii	0000100
Ribes_menziesii	0001000
Ribes_meyeri	0000100
Ribes_missouriense	1000000
Ribes_montigenum	0001000
Ribes_moupinense	0000100
Ribes_multiflorum	0000100
Ribes_nigrum	0000100
Ribes_niveum	0000100
Ribes_orientale	0100000
Ribes_ovalifolium	0100000
Ribes_oxyacanthoides	0100000
Ribes_petraeum	0100000
Ribes_roezlii	1000000
Ribes_rotundifolium	1000000
Ribes_rubrisepalum	1000000
Ribes_rubrum	1000000
Ribes_sanguineum	0000100
Ribes_sinanense	1000000
Ribes_speciosum	0000100
Ribes_spicatum	0010000
Ribes_stenocarpum	1000000
Ribes_takare	1000000
Ribes_tenue	0100000
Ribes_thacherianum	0010000
Ribes_tortuosum	1000000
Ribes_triste	0000100
Ribes_uva-crispa	0000100
Ribes_valdivianum	1000000
